"analysis_protocol","method","design","genes","active_genes","auroc","average_precision","effect_spearman_active","direction_accuracy_active","calls_fdr_0_10","directional_recall_fdr_0_10","empirical_fdp_fdr_0_10","f1_fdr_0_10","negative_control_p_below_0_05","scenario_id","seed","moi","high_quality_guide_fraction","replicates","is_baseline"
"barcs-four-methods-v1","BARCS-EB","Low + bulk + high",400,92,0.80275974025974,0.627663390504307,0.846030547292819,0.956521739130435,3,0.0326086956521739,0,0.0631578947368421,0.0555555555555556,"moi_0.25_quality_0.9_genes_400_replicates_1",20250726,0.25,0.9,1,FALSE
"barcs-four-methods-v1","BARCS-original","Low + bulk + high",400,102,0.724832214765101,0.61459692037991,0.791756902703406,0.92156862745098,0,0,0,0,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250727,0.25,0.9,1,FALSE
"barcs-four-methods-v1","BARCS-NORM","Low + bulk + high",400,102,0.707593104355836,0.556443033744676,0.799345211505731,0.901960784313726,2,0.0196078431372549,0,0.0384615384615385,0.05,"moi_0.25_quality_0.9_genes_400_replicates_1",20250727,0.25,0.9,1,FALSE
"barcs-four-methods-v1","BARCS-partial","Low + bulk + high",400,102,0.711837083826819,0.560087153135902,0.83219772576915,0.911764705882353,17,0.147058823529412,0.117647058823529,0.252100840336134,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250727,0.25,0.9,1,FALSE
"barcs-four-methods-v1","BARCS-EB","Low + bulk + high",400,102,0.732596394262403,0.61620888368634,0.838338488331986,0.901960784313726,8,0.0784313725490196,0,0.145454545454545,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250727,0.25,0.9,1,FALSE
"barcs-four-methods-v1","BARCS-original","Low + bulk + high",400,90,0.784121863799283,0.644132392753195,0.878503518952957,0.933333333333333,0,0,0,0,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250728,0.25,0.9,1,FALSE
"barcs-four-methods-v1","BARCS-NORM","Low + bulk + high",400,89,0.737948532076839,0.537834157547623,0.881664964249234,0.943820224719101,0,0,0,0,0.0434782608695652,"moi_0.25_quality_0.9_genes_400_replicates_1",20250728,0.25,0.9,1,FALSE
"barcs-four-methods-v1","BARCS-partial","Low + bulk + high",400,90,0.783799283154122,0.617424993370622,0.870683623492612,0.944444444444444,12,0.133333333333333,0,0.235294117647059,0.0434782608695652,"moi_0.25_quality_0.9_genes_400_replicates_1",20250728,0.25,0.9,1,FALSE
"barcs-four-methods-v1","BARCS-EB","Low + bulk + high",400,90,0.793799283154122,0.66326554382764,0.875227394328518,0.944444444444444,14,0.155555555555556,0,0.269230769230769,0,"moi_0.25_quality_0.9_genes_400_replicates_1",20250728,0.25,0.9,1,FALSE
"barcs-four-methods-v1","BARCS-original","Low + bulk + high",400,79,0.932016246697425,0.8684135468367,0.934493670886076,0.987341772151899,58,0.683544303797468,0.0689655172413793,0.788321167883212,0,"moi_0.25_quality_0.9_genes_400_replicates_3",20250724,0.25,0.9,3,FALSE
"barcs-four-methods-v1","BARCS-NORM","Low + bulk + high",400,79,0.888284238337474,0.751937514448478,0.936562804284323,1,5,0.0632911392405063,0,0.119047619047619,0.05,"moi_0.25_quality_0.9_genes_400_replicates_3",20250724,0.25,0.9,3,FALSE
