"analysis_protocol","replicates","method","nominal_fdr","runs","precision_mean","precision_sd","precision_se","recall_mean","recall_sd","recall_se","directional_recall_mean","directional_recall_sd","directional_recall_se","f1_mean","f1_sd","f1_se","realized_fdp_mean","realized_fdp_sd","realized_fdp_se","specificity_mean","specificity_sd","specificity_se","balanced_accuracy_mean","balanced_accuracy_sd","balanced_accuracy_se","calls_mean","calls_sd","calls_se"
"crispulator-f1-threshold-curves-v1",3,"BARCS-original",0.1,5,0.921188581533409,0.0589206718624479,0.0263501255128785,0.694898687414793,0.0926696523424849,0.0414431284178138,0.694898687414793,0.0926696523424849,0.0414431284178138,0.786710552999425,0.0491312833482133,0.0219721778776817,0.0788114184665909,0.0589206718624479,0.0263501255128785,0.983608803151233,0.0129910923440351,0.0058097931166479,0.839253745283013,0.0403345936960327,0.0180381786698327,64,16.015617378047,7.16240183178799
"crispulator-f1-threshold-curves-v1",3,"BARCS-partial",0.001,5,1,0,0,0.163483152938299,0.0548325123667701,0.0245218450058392,0.163483152938299,0.0548325123667701,0.0245218450058392,0.278071601601013,0.0783541690387516,0.0350410496582316,0,0,0,1,0,0,0.581741576469149,0.0274162561833851,0.0122609225029196,13.8,4.91934955049954,2.2
"crispulator-f1-threshold-curves-v1",3,"BARCS-partial",0.005,5,1,0,0,0.197895691022694,0.0581348817420212,0.0259987094878142,0.197895691022694,0.0581348817420212,0.0259987094878142,0.327284391746611,0.0804426870013213,0.0359750632855386,0,0,0,1,0,0,0.598947845511347,0.0290674408710106,0.0129993547439071,17,6.16441400296898,2.75680975041804
"crispulator-f1-threshold-curves-v1",3,"BARCS-partial",0.01,5,1,0,0,0.250017805691346,0.0696607423290992,0.0311532310421925,0.250017805691346,0.0696607423290992,0.0311532310421925,0.395917522057841,0.0921097576776805,0.0411927359116653,0,0,0,1,0,0,0.625008902845673,0.0348303711645496,0.0155766155210963,21.4,7.98749021908634,3.57211421989835
"crispulator-f1-threshold-curves-v1",3,"BARCS-partial",0.05,5,0.970757575757576,0.0371891771137589,0.0166315056107289,0.369085974510883,0.065683907750982,0.0293747365518042,0.369085974510883,0.065683907750982,0.0293747365518042,0.53200209005087,0.0721101849064074,0.0322486550641612,0.0292424242424242,0.0371891771137589,0.0166315056107289,0.997555315161941,0.00249150347979074,0.00111423422939788,0.683320644836412,0.0326575946286897,0.0146049203142764,32.2,8.5848704125339,3.83927076409049
"crispulator-f1-threshold-curves-v1",3,"BARCS-partial",0.1,5,0.913797826823037,0.0227955984518526,0.0101945015452263,0.436476235696994,0.105979866227542,0.0473956370262238,0.436476235696994,0.105979866227542,0.0473956370262238,0.584169838815203,0.100740525189387,0.0450525324824999,0.0862021731769631,0.0227955984518526,0.0101945015452263,0.989227260041356,0.00354339378761708,0.00158465387603245,0.712851747869175,0.0513081326601375,0.0229456944853289,40.4,12.300406497348,5.50090901579003
"crispulator-f1-threshold-curves-v1",3,"DESeq2",0.001,5,0.995918367346939,0.00912680807142772,0.00408163265306123,0.597338822522221,0.0395989983856675,0.0177092104462514,0.597338822522221,0.0395989983856675,0.0177092104462514,0.746119213432851,0.0308300057976238,0.0137875977420399,0.00408163265306122,0.00912680807142771,0.00408163265306122,0.999376947040498,0.00139318877102791,0.000623052959501558,0.79835788478136,0.019710697554611,0.0088148919232098,50.4,8.20365772079747,3.66878726556883
"crispulator-f1-threshold-curves-v1",3,"DESeq2",0.005,5,0.973889925373134,0.0229104218487245,0.0102458521293889,0.684680522731933,0.0343399513348791,0.0153572931057649,0.684680522731933,0.0343399513348791,0.0153572931057649,0.803744590656187,0.027871242758898,0.0124643986852589,0.0261100746268657,0.0229104218487245,0.0102458521293889,0.99487486566158,0.00422680342953871,0.00189028395919556,0.839777694196756,0.0180937847307583,0.00809178652564466,59.2,9.73139250056229,4.35201102939779
"crispulator-f1-threshold-curves-v1",3,"DESeq2",0.01,5,0.949079792766259,0.0344314112971451,0.0153981952443341,0.718273999014392,0.0266812086428651,0.0119321992494603,0.718273999014392,0.0266812086428651,0.0119321992494603,0.817281414305824,0.0223598105176795,0.00999961125630922,0.0509202072337406,0.034431411297145,0.0153981952443341,0.98988569164639,0.0066989898486078,0.00299587933641362,0.854079845330391,0.0141096737900803,0.00631003794699331,63.8,10.4259292151827,4.66261729074991
"crispulator-f1-threshold-curves-v1",3,"DESeq2",0.05,5,0.844437814437814,0.0371504519367863,0.0166141871850986,0.794567429613563,0.0329164319720165,0.0147206758932353,0.794567429613563,0.0329164319720165,0.0147206758932353,0.818441822208175,0.0298122411299554,0.0133324395456391,0.155562185562186,0.0371504519367863,0.0166141871850986,0.961192462989589,0.00995849632783281,0.00445357494854324,0.877879946301576,0.0168649163918428,0.0075422198974022,79.6,14.7918896696805,6.61513416341649
