gene_id	SYMBOL	HT29_LARGE_INTESTINE
POU2F2 (5452)	POU2F2	2.01792190799726
BRD9 (65980)	BRD9	5.915759896038
SNX1 (6642)	SNX1	5.98344969074012
TBPL1 (9519)	TBPL1	4.6507645591169
ARNTL2 (56938)	ARNTL2	3.97727992349992
BCLAF1 (9774)	BCLAF1	5.62556273996637
SLC39A9 (55334)	SLC39A9	4.65306001710456
ANK1 (286)	ANK1	0.37851162325373
IBSP (3381)	IBSP	0
TFB1M (51106)	TFB1M	4.05224198118114
RABEP1 (9135)	RABEP1	3.78345665436024
HMGB3 (3149)	HMGB3	7.11301282177437
NUP160 (23279)	NUP160	5.16148463864166
BAK1 (578)	BAK1	4.55458885167764
MUSK (4593)	MUSK	0
IKZF2 (22807)	IKZF2	1.36176835941915
GRN (2896)	GRN	7.74139956916985
FAM13B (51306)	FAM13B	3.3533232911629
ARHGAP31 (57514)	ARHGAP31	0.0565835283663675
CENPQ (55166)	CENPQ	3.25247621413522
SARS (6301)	SARS	7.16691625156997
RANBP3 (8498)	RANBP3	5.15987133677839
ARID4A (5926)	ARID4A	2.65535182861255
EIPR1 (7260)	EIPR1	5.36106648879432
PNPLA6 (10908)	PNPLA6	3.83693401132109
IFT88 (8100)	IFT88	3.66334461936608
ALG1 (56052)	ALG1	4.84247606299394
ZCCHC8 (55596)	ZCCHC8	4.39985467357243
ABCF2 (10061)	ABCF2	5.61235249875266
CHPF2 (54480)	CHPF2	4.47767732756531
LRRC7 (57554)	LRRC7	0.176322772640463
FUT8 (2530)	FUT8	1.6507645591169
UBA6 (55236)	UBA6	4.5453506448223
GAB2 (9846)	GAB2	1.73552217729654
ATP6V0A1 (535)	ATP6V0A1	4.45811948117451
PIAS1 (8554)	PIAS1	4.32192809488736
SLC4A7 (9497)	SLC4A7	2.98550043030489
APBA2 (321)	APBA2	0.0426443374084937
MAP2K3 (5606)	MAP2K3	5.50652577904312
EFCAB1 (79645)	EFCAB1	0
TMSB10 (9168)	TMSB10	12.379215892265
ASTE1 (28990)	ASTE1	1.95233356636969
RNF19A (25897)	RNF19A	3.34198574722862
PEX3 (8504)	PEX3	3.32912359629157
GABARAPL2 (11345)	GABARAPL2	6.82578562746479
MYOC (4653)	MYOC	0
SH3YL1 (26751)	SH3YL1	5.61647532878288
FAM136A (84908)	FAM136A	6.45088131527337
VCL (7414)	VCL	4.20633064787105
DEPDC1B (55789)	DEPDC1B	3.98185265328974
DAPK2 (23604)	DAPK2	0.475084882948783
NSMAF (8439)	NSMAF	3.61353165291793
ADSS (159)	ADSS	5.23342794374847
STAP1 (26228)	STAP1	0.0426443374084937
TIMP2 (7077)	TIMP2	3.09592441999854
RFC1 (5981)	RFC1	5.10810622368613
TBC1D23 (55773)	TBC1D23	3.5837597536395
CUL3 (8452)	CUL3	5.51349074558812
MYOM2 (9172)	MYOM2	0
OTC (5009)	OTC	0.0976107966264223
CYP46A1 (10858)	CYP46A1	0
ZZZ3 (26009)	ZZZ3	4.38818953715608
SLC18A1 (6570)	SLC18A1	0
USP2 (9099)	USP2	0.53605290024021
CASR (846)	CASR	0.0143552929770701
TUBG2 (27175)	TUBG2	2.92409988564074
RPL26L1 (51121)	RPL26L1	5.7062542535732
FLT4 (2324)	FLT4	0.0143552929770701
NSUN2 (54888)	NSUN2	6.39557697654977
FBXO42 (54455)	FBXO42	2.94485844580754
MFAP3 (4238)	MFAP3	3.71259578044703
MRI1 (84245)	MRI1	2.68257329734758
METTL1 (4234)	METTL1	4.97361127551947
HOXC8 (3224)	HOXC8	1.11103131238874
AGA (175)	AGA	4.09508049190141
PI4K2B (55300)	PI4K2B	3.53106949272595
BOD1L1 (259282)	BOD1L1	4.19692173382033
MAT2B (27430)	MAT2B	5.62585493136806
TLL1 (7092)	TLL1	0
EDC4 (23644)	EDC4	5.40429006444484
TRIO (7204)	TRIO	5.29572302453997
VCAN (1462)	VCAN	0.55581615506164
CLEC16A (23274)	CLEC16A	3.11103131238874
MSR1 (4481)	MSR1	0
CDH1 (999)	CDH1	6.79558514511806
MTREX (23517)	MTREX	5.53294028837287
DNAH5 (1767)	DNAH5	0.956056652412403
ZFYVE16 (9765)	ZFYVE16	3.28835856219366
RIPOR1 (79567)	RIPOR1	4.13504228623365
C6 (729)	C6	0.176322772640463
RAI14 (26064)	RAI14	4.18824265626441
SOX30 (11063)	SOX30	0.321928094887362
PNKP (11284)	PNKP	6.28484722941863
BEST2 (54831)	BEST2	0
PHLPP2 (23035)	PHLPP2	2.77399632511117
SPDL1 (54908)	SPDL1	4.77873424411784
STAU2 (27067)	STAU2	4.39780296186249
PQLC2 (54896)	PQLC2	3.12763327972587
CTNS (1497)	CTNS	2.48800077083407
RTN4R (65078)	RTN4R	3.46466826700344
PHF23 (79142)	PHF23	4.79701297783614
CDH10 (1008)	CDH10	0.0285691521967709
INPP4A (3631)	INPP4A	2.36457243229586
RAB27B (5874)	RAB27B	1.88362081628567
PSMA4 (5685)	PSMA4	9.17761886032181
MYO16 (23026)	MYO16	0
LSG1 (55341)	LSG1	4.94626298433245
PARP3 (10039)	PARP3	2.90303827011291
TNC (3371)	TNC	0.37851162325373
THAP3 (90326)	THAP3	3.54349588342577
RIPOR3 (140876)	RIPOR3	0.356143810225275
TDP1 (55775)	TDP1	3.31614574229336
AIFM2 (84883)	AIFM2	4.26978123827438
C2orf83 (56918)	C2orf83	0
