"analysis_protocol","scope","method","reference","metric","runs","mean_difference","sd_difference","lower_95","upper_95"
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-partial","BARCS-EB","directional_recall_fdr_0_10",5,0.0110568667019182,0.0727699339686573,-0.0792989404586288,0.101412673862465
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-partial","BARCS-EB","empirical_fdp_fdr_0_10",5,0.0901960784313724,0.0933977551785424,-0.0257725516868728,0.206164708549618
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-partial","BARCS-EB","f1_fdr_0_10",5,0.02294910552281,0.108044988140374,-0.111206466437445,0.157104677483065
"barcs-external-headtohead-v1","one-replicate boundary","BARCS-partial","BARCS-EB","negative_control_p_below_0_05",5,0.018695652173913,0.0257037065284477,-0.0132197148428556,0.0506110191906817
"barcs-external-headtohead-v1","one-replicate boundary","MAGeCK-MLE","BARCS-EB","auroc",5,-0.0116109516759474,0.00908630230085222,-0.0228930861197116,-0.000328817232183162
"barcs-external-headtohead-v1","one-replicate boundary","MAGeCK-MLE","BARCS-EB","average_precision",5,-0.0844186366116144,0.0215344445346262,-0.111157181111576,-0.0576800921116532
"barcs-external-headtohead-v1","one-replicate boundary","MAGeCK-MLE","BARCS-EB","directional_recall_fdr_0_10",5,-0.103690921975101,0.0829132849614532,-0.206641362884547,-0.000740481065654844
"barcs-external-headtohead-v1","one-replicate boundary","MAGeCK-MLE","BARCS-EB","empirical_fdp_fdr_0_10",5,0,0,0,0
"barcs-external-headtohead-v1","one-replicate boundary","MAGeCK-MLE","BARCS-EB","f1_fdr_0_10",5,-0.17505437082795,0.125369664253165,-0.330721369397998,-0.0193873722579022
"barcs-external-headtohead-v1","one-replicate boundary","MAGeCK-MLE","BARCS-EB","negative_control_p_below_0_05",5,0.00758454106280192,0.0423944353826706,-0.045055103076036,0.0602241852016399
"barcs-external-headtohead-v1","one-replicate boundary","edgeR-QL","BARCS-EB","auroc",5,0.0237403759917408,0.0104643712852335,0.0107471429030291,0.0367336090804525
"barcs-external-headtohead-v1","one-replicate boundary","edgeR-QL","BARCS-EB","average_precision",5,0.0633863270112376,0.0310592853573041,0.0248211305731359,0.101951523449339
"barcs-external-headtohead-v1","one-replicate boundary","edgeR-QL","BARCS-EB","directional_recall_fdr_0_10",5,0.590441149492268,0.142907364098228,0.412998220413302,0.767884078571235
"barcs-external-headtohead-v1","one-replicate boundary","edgeR-QL","BARCS-EB","empirical_fdp_fdr_0_10",5,0.525723488742763,0.0608361827487173,0.450185390835535,0.60126158664999
"barcs-external-headtohead-v1","one-replicate boundary","edgeR-QL","BARCS-EB","f1_fdr_0_10",5,0.362794908126238,0.121976704787861,0.211340825171623,0.514248991080854
"barcs-external-headtohead-v1","one-replicate boundary","edgeR-QL","BARCS-EB","negative_control_p_below_0_05",5,0.216811594202898,0.0935419960229297,0.100663865421107,0.33295932298469
"barcs-external-headtohead-v1","one-replicate boundary","DESeq2","BARCS-EB","auroc",5,0.022141894117413,0.0120076444423767,0.00723243431008233,0.0370513539247437
"barcs-external-headtohead-v1","one-replicate boundary","DESeq2","BARCS-EB","average_precision",5,0.061486552605186,0.0333757010573021,0.0200451461875227,0.102927959022849
"barcs-external-headtohead-v1","one-replicate boundary","DESeq2","BARCS-EB","directional_recall_fdr_0_10",5,0.302072366646163,0.10153406240292,0.176001176769083,0.428143556523243
