"scenario_id","metric","method","reference","n","mean_difference","sd_difference","lower_95","upper_95"
"moi_0.25_quality_0.9_genes_400_replicates_6","directional_recall_fdr_0_10","BARCS-EB","BARCS-original",5,-0.170382264811997,0.0813615033832511,-0.271405914402714,-0.0693586152212806
"moi_0.4_quality_0.9_genes_400_replicates_4","directional_recall_fdr_0_10","BARCS-EB","BARCS-original",5,-0.18262729270758,0.128294799469486,-0.341926326365613,-0.023328259049548
"moi_0.1_quality_0.9_genes_400_replicates_4","directional_recall_fdr_0_10","BARCS-EB","BARCS-partial",5,0.111249060255179,0.0475833556474716,0.0521665206339879,0.17033159987637
"moi_0.25_quality_0.6_genes_400_replicates_4","directional_recall_fdr_0_10","BARCS-EB","BARCS-partial",5,0.0271038243232517,0.0377001736356888,-0.0197071240062138,0.0739147726527172
"moi_0.25_quality_0.75_genes_400_replicates_4","directional_recall_fdr_0_10","BARCS-EB","BARCS-partial",5,0.0993084396346918,0.0716341527195773,0.0103628911609624,0.188253988108421
"moi_0.25_quality_0.9_genes_100_replicates_4","directional_recall_fdr_0_10","BARCS-EB","BARCS-partial",5,0.121350899627585,0.0882671737311327,0.011752727782441,0.23094907147273
"moi_0.25_quality_0.9_genes_1000_replicates_4","directional_recall_fdr_0_10","BARCS-EB","BARCS-partial",5,0.098624691765669,0.0895301032683278,-0.0125416142180788,0.209790997749417
"moi_0.25_quality_0.9_genes_400_replicates_1","directional_recall_fdr_0_10","BARCS-EB","BARCS-partial",5,-0.0110568667019182,0.0727699339686573,-0.101412673862465,0.0792989404586288
"moi_0.25_quality_0.9_genes_400_replicates_3","directional_recall_fdr_0_10","BARCS-EB","BARCS-partial",5,0.0358681443591928,0.0769372073492725,-0.0596620161287369,0.131398304847122
"moi_0.25_quality_0.9_genes_400_replicates_4","directional_recall_fdr_0_10","BARCS-EB","BARCS-partial",5,0.100673163046176,0.0857620835609596,-0.00581452852241054,0.207160854614762
"moi_0.25_quality_0.9_genes_400_replicates_6","directional_recall_fdr_0_10","BARCS-EB","BARCS-partial",5,0.0899974100812586,0.0195292740908351,0.0657486135316151,0.114246206630902
"moi_0.4_quality_0.9_genes_400_replicates_4","directional_recall_fdr_0_10","BARCS-EB","BARCS-partial",5,0.058743961352657,0.0878592102310447,-0.0503476569018471,0.167835579607161
"moi_0.1_quality_0.9_genes_400_replicates_4","empirical_fdp_fdr_0_10","BARCS-partial","BARCS-original",5,-0.0816488194314966,0.0463585406282021,-0.139210550338802,-0.0240870885241916
"moi_0.25_quality_0.6_genes_400_replicates_4","empirical_fdp_fdr_0_10","BARCS-partial","BARCS-original",5,-0.0106727322856354,0.121018233606356,-0.160936716080861,0.13959125150959
"moi_0.25_quality_0.75_genes_400_replicates_4","empirical_fdp_fdr_0_10","BARCS-partial","BARCS-original",5,-0.0817701483304305,0.0494988206397517,-0.143231051872356,-0.0203092447885054
"moi_0.25_quality_0.9_genes_100_replicates_4","empirical_fdp_fdr_0_10","BARCS-partial","BARCS-original",5,-0.140904761904762,0.0409815787387255,-0.19179011281419,-0.0900194109953335
"moi_0.25_quality_0.9_genes_1000_replicates_4","empirical_fdp_fdr_0_10","BARCS-partial","BARCS-original",5,-0.047196613187296,0.0308837304179759,-0.0855438293775271,-0.00884939699706488
"moi_0.25_quality_0.9_genes_400_replicates_1","empirical_fdp_fdr_0_10","BARCS-partial","BARCS-original",5,0.0901960784313724,0.0933977551785424,-0.0257725516868728,0.206164708549618
