"analysis_protocol","moi","design","method","nominal_fdr","runs","precision","recall","directional_recall","realized_fdp","realized_fdp_sd","f1","f1_sd","calls"
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-original",3e-06,3,1,0.0407272244814575,0.0407272244814575,0,0,0.0781884613966798,0.0150603983831523,79.3333333333333
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-original",1e-05,3,1,0.0672621472248867,0.0672621472248867,0,0,0.125914477015174,0.0192532500535548,131
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-original",3e-05,3,1,0.102542185119602,0.102542185119602,0,0,0.185846619399311,0.0210575967551206,199.666666666667
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-original",1e-04,3,1,0.151017726310018,0.151017726310018,0,0,0.262246612820411,0.0203986012767005,294
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-original",3e-04,3,0.999166666666667,0.21039036852052,0.21039036852052,0.000833333333333333,0.00144337567297406,0.347126930233189,0.0338730938536337,410
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-original",0.001,3,0.999410029498525,0.295534479576863,0.295534479576863,0.000589970501474926,0.00102185888352146,0.455965435903279,0.0220497866152978,575.666666666667
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-original",0.003,3,0.998649888123572,0.37823976990386,0.37823976990386,0.00135011187642767,0.00140112082757045,0.548344641240063,0.0264434229187918,737.333333333333
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-original",0.01,3,0.994058642480699,0.486114731828347,0.486114731828347,0.00594135751930064,0.00213923605257835,0.652667902169669,0.0229078674797,952
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-original",0.03,3,0.980513747133652,0.590920287444937,0.590920287444937,0.0194862528663477,0.00321364111767803,0.737153246167001,0.0198331209747282,1173.33333333333
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-original",0.05,3,0.969426289034132,0.644006424328312,0.644006424328312,0.0305737109658678,0.00312900477594689,0.773628138175731,0.0196253451770436,1293.33333333333
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-original",0.1,3,0.934900129089747,0.715957338660121,0.715784895135375,0.0650998709102534,0.0063563285421418,0.810723450576031,0.0119150228768949,1491
"crispulator-moi-10k-v1",0.2,"low-bulk-high","BARCS-original",0.2,3,0.865376996863449,0.791660722831064,0.791145419966985,0.134623003136551,0.00606514949760281,0.826733158380376,0.0094250044247024,1781
"crispulator-moi-10k-v1",0.2,"low-bulk-high","DESeq2",1e-06,3,0.999568221070812,0.404307215260056,0.404307215260056,0.000431778929188256,0.000747863042991743,0.575631237790672,0.0153146359991664,787.333333333333
"crispulator-moi-10k-v1",0.2,"low-bulk-high","DESeq2",3e-06,3,0.999601752289924,0.436180579647329,0.436180579647329,0.000398247710075667,0.000689785267849015,0.607298668489196,0.00997100061316607,849.333333333333
"crispulator-moi-10k-v1",0.2,"low-bulk-high","DESeq2",1e-05,3,0.998943340317134,0.47831304877195,0.47831304877195,0.00105665968286575,0.00103788373212841,0.646819365008963,0.0110948428527797,932
"crispulator-moi-10k-v1",0.2,"low-bulk-high","DESeq2",3e-05,3,0.997673272978151,0.518063612482155,0.518063612482155,0.00232672702184897,0.00157575290118835,0.681918326593342,0.0126948558931159,1010.66666666667
"crispulator-moi-10k-v1",0.2,"low-bulk-high","DESeq2",1e-04,3,0.994834310462915,0.56701096534113,0.566838521816384,0.00516568953708515,0.00242291798288194,0.722203286231872,0.0170948527767358,1109.33333333333
