"gene","guide","estimate","std_error","t_value","df","p_value","fdr","rho","pearson_null","mean_cpm","converged","control","raw_std_error","raw_t_value","raw_p_value","raw_fdr"
"TNF","TNF_3",-0.165964875707517,0.0850714758878596,-1.95088746228278,12,0.0748119595123285,0.477371551173906,0.000100600812270907,3123.01791972077,3524.30607215065,TRUE,FALSE,0.0850714758878596,-1.95088746228278,0.0748119595123285,0.477371551173906
"FBXO45","FBXO45_4",-0.0473006158167675,0.0651196902884772,-0.726364262594432,12,0.481544172546522,0.969114331407468,6.77490837606372e-05,2209.92134986203,4034.97675217938,TRUE,FALSE,0.0651196902884772,-0.726364262594432,0.481544172546522,0.969114331407468
"NTCTRL","NTCTRL_43",-0.0989322587492927,0.104174516476109,-0.949678117987535,12,0.36101093967161,0.946458807590111,0.000149773887294699,5300.01452717209,3479.74045568511,TRUE,TRUE,0.104174516476109,-0.949678117987535,0.36101093967161,0.946458807590111
"NTCTRL","NTCTRL_13",-0.0415666878862055,0.0843898899179696,-0.492555304037131,12,0.631215444321713,0.991470511544439,0.000106256164120402,3592.85199245237,3759.25262731587,TRUE,TRUE,0.0843898899179696,-0.492555304037131,0.631215444321713,0.991470511544439
"VAV1","VAV1_4",-0.0256312818388195,0.0661521131775819,-0.387459759146524,12,0.705200425336555,0.991470511544439,7.35659048955228e-05,2465.46537588576,4243.54086035589,TRUE,FALSE,0.0661521131775819,-0.387459759146524,0.705200425336555,0.991470511544439
"NTCTRL","NTCTRL_21",-0.0963551293259021,0.089652517555525,-1.07476211436255,12,0.303616891414659,0.939961488222278,0.000115536090390646,3885.32588440237,3626.76481958194,TRUE,TRUE,0.089652517555525,-1.07476211436255,0.303616891414659,0.939961488222278
"FBXO45","FBXO45_5",0.000340600390653326,0.108305741652757,0.00314480456396612,12,0.997542488652419,0.999852402489395,0.000164451878917709,5169.37391098953,3525.41912345347,TRUE,FALSE,0.108305741652757,0.00314480456396612,0.997542488652419,0.999852402489395
"NTCTRL","NTCTRL_22",-0.0501423416941394,0.0701544312588624,-0.714742330518217,12,0.488440391308919,0.969114331407468,6.85530700064641e-05,2419.67172401229,3516.02036901038,TRUE,TRUE,0.0701544312588624,-0.714742330518217,0.488440391308919,0.969114331407468
"NTCTRL","NTCTRL_51",0.0194163079570053,0.0965016543351671,0.201201814526092,12,0.843910888723869,0.991470511544439,0.000127329853309721,4436.32594264807,3440.59862592982,TRUE,TRUE,0.0965016543351671,0.201201814526092,0.843910888723869,0.991470511544439
"NTCTRL","NTCTRL_46",0.0225179122931276,0.0878643147727893,0.256280520156075,12,0.802074973314384,0.991470511544439,0.000100100091104167,3447.14777857548,3264.85512306429,TRUE,TRUE,0.0878643147727893,0.256280520156075,0.802074973314384,0.991470511544439
